id,baseline_pass,context_pass,context_impact,safe_next_action
U01,true,true,unchanged,CONFIRM_ENTITIES
U02,true,true,unchanged,CONFIRM_ENTITIES
U03,true,true,unchanged,CONFIRM_ENTITIES
U04,true,true,unchanged,CONFIRM_ENTITIES
U05,true,true,unchanged,ASK_CLARIFICATION
U06,true,true,unchanged,CONFIRM_ENTITIES
U07,true,true,unchanged,CONFIRM_ENTITIES
U08,true,true,unchanged,ASK_CLARIFICATION
U09,true,true,unchanged,CONFIRM_ENTITIES
U10,true,true,unchanged,CONFIRM_ENTITIES
U11,true,true,unchanged,ASK_CLARIFICATION
U12,true,true,unchanged,CONFIRM_ENTITIES
U13,true,true,unchanged,ASK_CLARIFICATION
U14,true,true,unchanged,ASK_CLARIFICATION
U15,false,false,unchanged,REFER_TO_HUMAN
U16,true,true,unchanged,CONFIRM_ENTITIES
U17,true,true,unchanged,CONFIRM_ENTITIES
U18,false,true,improved,CONFIRM_ENTITIES
U19,false,true,improved,CONFIRM_ENTITIES
U20,true,true,unchanged,ASK_CLARIFICATION
